customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4024-ZEKCK,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,85.79,6164.81,No
3444-QUMYG,Male,0,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,84.3,262.79,Yes
3329-XYTMV,Male,1,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.74,57.05,No
8335-XJHEW,Female,0,Yes,No,57,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),62.94,3611.5,No
3565-RIOLR,Female,0,Yes,Yes,14,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),65.08,912.6,No
2199-HSLYH,Male,0,Yes,No,26,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),83.48,2190.34,No
2872-HEWUB,Male,0,No,Yes,18,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,46.96,845.51,No
5829-ESOYL,Male,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.66,1802.87,No
5183-MEPYP,Male,0,Yes,No,33,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.97,1859.68,No
3814-GWHZD,Male,1,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),21.57,40.37,No
8098-JKPFB,Female,0,No,No,65,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,99.03,6428.15,No
6175-JRARA,Female,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,99.86,1026.19,No
